Key,Fcm Notification Type,Fcm Sub Category,Trip Category,Should Trigger,Body,Title,Dutch_Body,Dutch_Title,Body (German),Title (German),Body (French),Title (French),Finnish Body (Suomi),Finnish Title (Suomi),Swedish Body (Svenska),Swedish Title (Svenska)
FIRST_RIDE_EVENT,FIRST_RIDE_EVENT,,Delivery_OneWayOnDemandDynamicOffer,,Congratulations! You have done your first parcel delivery with us.,First Parcel Delivery,Gefeliciteerd! Je hebt je eerste pakket bezorgd.,Eerste Pakketbezorging,Glückwunsch! Sie haben Ihr erstes Paket zugestellt.,Erste Paketzustellung,Félicitations ! Vous avez fait votre première livraison de colis.,Première Livraison,Onnittelut! Ensimmäinen pakettikuljetuksesi on tehty.,Ensimmäinen pakettikuljetus,Grattis! Du har gjort din första paketleverans med oss.,Första paketleveransen
EST_OR_QUOTE_REALLOCATED,REALLOCATE_PRODUCT,ByMerchant,,,"The ride for {#bookingStartTime#}, is cancelled. Please wait while we allocate you another driver.",Searching for a New Driver!,De rit van {#bookingStartTime#} is geannuleerd. We zoeken een nieuwe chauffeur.,Nieuwe chauffeur gezocht!,Die Fahrt um {#bookingStartTime#} wurde storniert. Wir suchen einen neuen Fahrer.,Suchen neuen Fahrer!,La course de {#bookingStartTime#} est annulée. Nous cherchons un nouveau chauffeur.,Recherche d'un nouveau chauffeur !,"Kyyti ajalle {#bookingStartTime#} on peruttu. Odota, etsimme sinulle uutta kuljettajaa.",Etsitään uutta kuljettajaa!,Resan för {#bookingStartTime#} har avbokats. Vänta medan vi hittar en ny förare åt dig.,Söker efter en ny förare!
FCM_CHAT_MESSAGE,FCM_CHAT_MESSAGE,,,,Your driver tried to contact you but couldn't get through. Please call them back to coordinate your pickup.,Missed Call: Quick Action Required,Uw chauffeur probeerde u te bellen. Bel terug om de ophaaltijd af te stemmen.,Gemiste Oproep: Actie Vereist,"Ihr Fahrer hat versucht, Sie zu erreichen. Bitte rufen Sie zurück, um die Abholung zu koordinieren.",Verpasster Anruf: Handeln nötig,Votre chauffeur a tenté de vous joindre. Veuillez le rappeler pour organiser la prise en charge.,Appel manqué : Action requise,Kuljettajasi yritti tavoittaa sinua. Soita hänelle takaisin sopiaksesi noudosta.,Vastaamaton puhelu: Toimi heti,Din förare försökte nå dig men kom inte fram. Ring tillbaka för att samordna upphämtningen.,Missat samtal: Åtgärd krävs
FIRST_RIDE_EVENT,FIRST_RIDE_EVENT,,,,Your choice supports drivers directly and makes a real difference.,🎉 Congrats on your 1st Ride with Bridge !,Jouw keuze steunt chauffeurs direct en maakt echt een verschil.,🎉 Gefeliciteerd met je 1e rit met Bridge!,Deine Wahl unterstützt Fahrer direkt und macht einen echten Unterschied.,🎉 Glückwunsch zur 1. Fahrt mit Bridge!,Votre choix soutient directement les chauffeurs et fait une réelle différence.,🎉 Félicitations pour votre 1er trajet avec Bridge !,Valintasi tukee kuljettajia suoraan ja sillä on todellista merkitystä.,🎉 Onnittelut 1. matkasta Lynxillä!,Ditt val stöttar förare direkt och gör verklig skillnad.,🎉 Grattis till din första resa med Lynx!
DRIVER_QUOTE_INCOMING,DRIVER_QUOTE_INCOMING,,,,There are new driver offers! Check the app for details,New driver offers incoming!,Er zijn nieuwe chauffeursaanbiedingen! Bekijk de app voor details.,Nieuwe chauffeursaanbiedingen!,Neue Fahrerangebote! Details in der App.,Neue Fahrerangebote!,Nouvelles offres chauffeurs ! Consultez l'app pour les détails.,Nouvelles offres chauffeurs !,Uusia kuljettajatarjouksia saatavilla! Katso tiedot sovelluksesta.,Uusia kuljettajatarjouksia!,Det finns nya förarerbjudanden! Se appen för detaljer.,Nya förarerbjudanden på ingång!
DRIVER_ASSIGNMENT,DRIVER_ASSIGNMENT,,,,{#driverName#} will be your driver for this trip.,Driver assigned!,{#driverName#} wordt uw chauffeur voor deze rit.,Chauffeur toegewezen!,{#driverName#} wird Ihr Fahrer für diese Fahrt sein.,Fahrer zugewiesen!,{#driverName#} sera votre chauffeur pour ce trajet.,Chauffeur assigné !,{#driverName#} on kuljettajasi tällä matkalla.,Kuljettaja nimetty!,{#driverName#} kommer att vara din förare på denna resa.,Förare tilldelad!
TRIP_STARTED,TRIP_STARTED,,,,Your {#serviceTierName#} ride with {#driverName#} has started. Enjoy the ride!,Your {#serviceTierName#} ride has started!,Je {#serviceTierName#}-rit met {#driverName#} is begonnen. Geniet van de rit!,Je {#serviceTierName#}-rit is begonnen!,Deine {#serviceTierName#}-Fahrt mit {#driverName#} hat begonnen. Gute Fahrt!,Deine {#serviceTierName#}-Fahrt hat begonnen!,Votre trajet {#serviceTierName#} avec {#driverName#} a commencé. Bon voyage !,Votre trajet {#serviceTierName#} a commencé !,{#serviceTierName#} -matkasi kuljettajan {#driverName#} kanssa on alkanut. Hyvää matkaa!,{#serviceTierName#} -matkasi on alkanut!,Din {#serviceTierName#}-resa med {#driverName#} har börjat. Trevlig resa!,Din {#serviceTierName#}-resa har börjat!
EXPIRED_CASE,EXPIRED_CASE,,,,Your ride has expired as you did not confirm any offer. Please book again to continue.,Ride expired!,Je rit is verlopen omdat je geen aanbod hebt bevestigd. Boek opnieuw.,Rit verlopen!,"Deine Fahrt ist abgelaufen, da du kein Angebot bestätigt hast. Bitte buche erneut.",Fahrt abgelaufen!,Votre course a expiré car vous n'avez confirmé aucune offre. Veuillez réserver à nouveau.,Course expirée !,"Kyytipyyntösi vanheni, koska et hyväksynyt tarjousta. Tilaa uudelleen jatkaaksesi.",Kyytipyyntö vanhentui!,Din resa har löpt ut då du inte bekräftade något erbjudande. Boka igen för att fortsätta.,Resan har löpt ut!
REGISTRATION_APPROVED,REGISTRATION_APPROVED,,,,Welcome to Yatri. Click here to book your first ride with us.,Registration Completed!,Welkom bij Yatri. Klik hier om je eerste rit te boeken.,Registratie voltooid!,"Willkommen bei Yatri. Klicke hier, um deine erste Fahrt zu buchen.",Registrierung abgeschlossen!,Bienvenue sur Yatri. Cliquez ici pour réserver votre premier trajet.,Inscription terminée !,Tervetuloa Lynxiin. Tilaa ensimmäinen kyytisi napauttamalla tästä.,Rekisteröinti valmis!,Välkommen till Lynx. Klicka här för att boka din första resa med oss.,Registrering slutförd!
BOOKING_CANCEL_WITH_RIDE,CANCELLED_PRODUCT,ByUser,,,You have cancelled your ride for {#bookingStartTime#}. Check the app for details.,Ride cancelled!,Je hebt je rit voor {#bookingStartTime#} geannuleerd. Bekijk de app.,Rit geannuleerd!,Du hast deine Fahrt für {#bookingStartTime#} storniert. Details in der App.,Fahrt storniert!,Vous avez annulé votre course pour {#bookingStartTime#}. Consultez l'app.,Course annulée !,Olet perunut kyydin ajalle {#bookingStartTime#}. Katso tiedot sovelluksesta.,Kyyti peruttu!,Du har avbokat din resa för {#bookingStartTime#}. Se appen för detaljer.,Resa avbokad!
